specification,estimator,rmse_log,mae_log,r2_log,rmse,mae,r2
Naive Mean,—,0.5552,0.4520,-0.2918,0.0101,0.0069,-0.0464
Naive Lag Vol 20d,—,0.5001,0.3936,-0.0482,0.0104,0.0065,-0.1077
M1: Price/context,LR,0.4762,0.3773,0.0498,0.0097,0.0059,0.0384
M1: Price/context,EN,0.4748,0.3757,0.0552,0.0095,0.0058,0.0889
M1: Price/context,RF,0.4418,0.3496,0.1818,0.0088,0.0054,0.2098
M1: Price/context,XGB,0.4450,0.3489,0.1701,0.0090,0.0054,0.1852
M2: + LM dict,LR,0.4767,0.3757,0.0478,0.0098,0.0059,0.0321
M2: + LM dict,EN,0.4733,0.3729,0.0614,0.0095,0.0058,0.0757
M2: + LM dict,RF,0.4405,0.3484,0.1869,0.0088,0.0054,0.2103
M2: + LM dict,XGB,0.4404,0.3444,0.1873,0.0089,0.0054,0.1950
M3: + FinBERT PCA,LR,0.4809,0.3812,0.0309,0.0095,0.0060,0.0802
M3: + FinBERT PCA,EN,0.4751,0.3761,0.0539,0.0094,0.0059,0.0965
M3: + FinBERT PCA,RF,0.4371,0.3457,0.1994,0.0088,0.0054,0.2148
M3: + FinBERT PCA,XGB,0.4426,0.3457,0.1792,0.0088,0.0054,0.2078
M4: + Surprise,LR,0.4817,0.3823,0.0277,0.0095,0.0060,0.0767
M4: + Surprise,EN,0.4754,0.3764,0.0527,0.0094,0.0059,0.0956
M4: + Surprise,RF,0.4377,0.3462,0.1971,0.0088,0.0054,0.2187
M4: + Surprise,XGB,0.4466,0.3513,0.1640,0.0088,0.0055,0.2038
